HistoryId,StudentId,CourseId,Semester,Grade,sections
1,1,1,2,A+,A
2,1,2,1,B,B
3,2,3,3,C,C
4,2,4,4,D,A
5,3,5,5,A-,B
6,3,6,6,B,C
7,4,7,7,B+,A
8,4,8,7,C+,B
9,5,9,8,W,C
10,5,10,2,W,A
11,6,11,1,C-,B
12,6,12,3,F,C
13,7,13,4,F,A
14,7,14,5,A,B
15,8,15,6,A-,C
16,8,16,7,B-,A
17,9,17,7,D+,B
18,9,18,8,A+,C
19,10,19,2,B,A
20,10,20,1,C,B
21,11,21,3,D,C
22,11,22,4,A-,A
23,12,23,5,B,B
24,12,24,6,B+,C
25,13,25,7,C+,A
26,13,26,7,W,B
27,14,27,8,W,C
28,14,28,2,C-,A
29,15,29,1,F,B
30,15,30,3,F,C
31,16,31,4,A,A
32,16,32,5,A-,B
33,17,33,6,B-,C
34,17,34,7,D+,A
35,18,35,7,A+,B
36,18,36,8,B,C
37,19,37,2,C,A
38,19,38,1,D,B
39,20,39,3,A-,C
40,20,40,4,B,A
41,21,41,5,B+,B
42,21,42,6,C+,C
43,22,43,7,W,A
44,22,44,7,W,B
45,23,45,8,C-,C
46,23,46,2,F,A
47,24,47,1,F,B
48,24,48,3,A,C
49,25,49,4,A-,A
50,25,50,5,B-,B
51,26,42,6,D+,C
52,26,32,7,A+,A
53,27,43,7,B,B
54,27,32,8,C,C
55,28,23,2,D,A
56,28,12,1,A-,B
57,29,43,3,B,C
58,29,23,4,B+,A
59,30,43,5,C+,B
60,30,43,6,W,C
