EvaluationId,EnrollmentId,EvaluationType,Marks,weightage
1,1,Assignment,85.5,20
2,1,Quiz,92,20
3,2,Assignment,78,10
4,2,Quiz,88.5,20
5,3,Assignment,92.5,10
6,3,Quiz,95,50
7,4,Assignment,80,20
8,4,Quiz,90,20
9,5,Assignment,88,10
10,5,Quiz,91.5,20
11,6,Assignment,93.5,10
12,6,Quiz,87,50
13,7,Assignment,86,20
14,7,Quiz,95.5,20
15,8,Assignment,79,10
16,8,Quiz,83.5,20
17,9,Assignment,91,10
18,9,Quiz,89.5,50
19,10,Assignment,82.5,20
20,10,Quiz,87.5,20
21,11,Assignment,88.5,10
22,11,Quiz,93,20
23,12,Assignment,95,10
24,12,Quiz,91,50
25,13,Assignment,89.5,20
26,13,Quiz,85.5,20
27,14,Assignment,94,10
28,14,Quiz,92.5,20
29,15,Assignment,87.5,10
30,15,Quiz,89,50
31,16,Assignment,90.5,20
32,16,Quiz,87,20
33,17,Assignment,91.5,10
34,17,Quiz,92,20
35,18,Assignment,85,10
36,18,Quiz,88.5,50
37,19,Assignment,92,20
38,19,Quiz,90.5,20
39,20,Assignment,89,10
40,20,Quiz,94.5,20
41,21,Assignment,90,10
42,21,Quiz,88,50
43,22,Assignment,87,20
44,22,Quiz,86.5,20
45,23,Assignment,92.5,10
46,23,Quiz,89.5,20
47,24,Assignment,88.5,10
48,24,Quiz,93.5,50
49,25,Assignment,91,20
50,25,Quiz,87,20
51,26,Assignment,86,10
52,26,Quiz,85,20
53,27,Assignment,94.5,10
54,27,Quiz,93,50
55,28,Assignment,89.5,20
56,28,Quiz,88,20
57,29,Assignment,92,10
58,29,Quiz,91.5,20
59,30,Assignment,90.5,10
60,30,Quiz,87.5,50
